ã‚åa,E_s
0,2.75115E-11
5,19571.36865
10,38993.78736
15,58119.43981
20,76802.76822
25,94901.5812
30,112278.1358
35,128800.1861
40,144341.9891
45,158785.2625
50,172020.0841
55,183945.729
60,194471.4358
65,203517.0976
70,211013.8714
75,216904.7023
80,221144.7573
85,223701.7673
90,224556.2717
95,223701.7673
100,221144.7573
105,216904.7023
110,211013.8714
115,203517.0976
120,194471.4358
125,183945.729
130,172020.0841
135,158785.2625
140,144341.9891
145,128800.1861
150,112278.1358
155,94901.5812
160,76802.76822
165,58119.43981
170,38993.78736
175,19571.36865
180,0
185,-19571.36865
190,-38993.78736
195,-58119.43981
200,-76802.76822
205,-94901.5812
210,-112278.1358
215,-128800.1861
220,-144341.9891
225,-158785.2625
230,-172020.0841
235,-183945.729
240,-194471.4358
245,-203517.0976
250,-211013.8714
255,-216904.7023
260,-221144.7573
265,-223701.7673
270,-224556.2717
275,-223701.7673
280,-221144.7573
285,-216904.7023
290,-211013.8714
295,-203517.0976
300,-194471.4358
305,-183945.729
310,-172020.0841
315,-158785.2625
320,-144341.9891
325,-128800.1861
330,-112278.1358
335,-94901.5812
340,-76802.76822
345,-58119.43981
350,-38993.78736
355,-19571.36865
