ã‚åa,É∆_o
0,0
5,0.193427593
10,0.370014637
15,0.519777063
20,0.640641557
25,0.735339083
30,0.808216933
35,0.863500924
40,0.904685788
45,0.934465178
50,0.954847784
55,0.967307937
60,0.972919869
65,0.972464935
70,0.966514202
75,0.955491713
80,0.939723154
85,0.919473307
90,0.894974419
95,0.866446797
100,0.834112502
105,0.798203019
110,0.758961949
115,0.716643954
120,0.671511312
125,0.623829325
130,0.573861603
135,0.521865938
140,0.468091159
145,0.412775103
150,0.356143655
155,0.298410712
160,0.239778881
165,0.180440736
170,0.120580465
175,0.060375781
180,8.48E-17
185,-0.060375781
190,-0.120580465
195,-0.180440736
200,-0.239778881
205,-0.298410712
210,-0.356143655
215,-0.412775103
220,-0.468091159
225,-0.521865938
230,-0.573861603
235,-0.623829325
240,-0.671511312
245,-0.716643954
250,-0.758961949
255,-0.798203019
260,-0.834112502
265,-0.866446797
270,-0.894974419
275,-0.919473307
280,-0.939723154
285,-0.955491713
290,-0.966514202
295,-0.972464935
300,-0.972919869
305,-0.967307937
310,-0.954847784
315,-0.934465178
320,-0.904685788
325,-0.863500924
330,-0.808216933
335,-0.735339083
340,-0.640641557
345,-0.519777063
350,-0.370014637
355,-0.193427593
